date,open,high,low,close,volume,average,barCount
2023-05-25,7.064355,7.094605,7.06346,7.09194,-1.0,-1.0,-1
2023-05-26,7.091125,7.098635,7.0558,7.0702,-1.0,-1.0,-1
2023-05-29,7.068055,7.0912,7.067505,7.084905,-1.0,-1.0,-1
2023-05-30,7.08642,7.109525,7.07462,7.091145,-1.0,-1.0,-1
2023-05-31,7.0901,7.134475,7.08735,7.11941,-1.0,-1.0,-1
2023-06-01,7.1192,7.139875,7.101845,7.10438,-1.0,-1.0,-1
2023-06-02,7.104255,7.11487,7.06701,7.109305,-1.0,-1.0,-1
2023-06-05,7.10487,7.135915,7.103295,7.119335,-1.0,-1.0,-1
2023-06-06,7.11885,7.14426,7.10622,7.128855,-1.0,-1.0,-1
2023-06-07,7.12897,7.153295,7.111905,7.14706,-1.0,-1.0,-1
2023-06-08,7.1468,7.15569,7.11692,7.120965,-1.0,-1.0,-1
2023-06-09,7.12045,7.14636,7.11666,7.14434,-1.0,-1.0,-1
2023-06-12,7.13735,7.16047,7.13624,7.156795,-1.0,-1.0,-1
2023-06-13,7.155725,7.1789,7.148395,7.174975,-1.0,-1.0,-1
2023-06-14,7.17325,7.178755,7.150785,7.173755,-1.0,-1.0,-1
2023-06-15,7.173655,7.1922,7.117875,7.12038,-1.0,-1.0,-1
2023-06-16,7.12151,7.144495,7.10398,7.12807,-1.0,-1.0,-1
2023-06-19,7.128975,7.16736,7.12851,7.164265,-1.0,-1.0,-1
2023-06-20,7.16415,7.18938,7.16087,7.183965,-1.0,-1.0,-1
2023-06-21,7.18233,7.203475,7.175245,7.17681,-1.0,-1.0,-1
2023-06-22,7.177325,7.203645,7.16695,7.195605,-1.0,-1.0,-1
2023-06-23,7.19625,7.22865,7.19316,7.215495,-1.0,-1.0,-1
2023-06-26,7.214,7.246545,7.206295,7.243255,-1.0,-1.0,-1
2023-06-27,7.243405,7.24947,7.206385,7.22451,-1.0,-1.0,-1
2023-06-28,7.224395,7.269185,7.212055,7.243025,-1.0,-1.0,-1
2023-06-29,7.24347,7.277055,7.2335,7.268505,-1.0,-1.0,-1
2023-06-30,7.268495,7.285665,7.25167,7.267655,-1.0,-1.0,-1
2023-07-03,7.26685,7.27315,7.24508,7.252555,-1.0,-1.0,-1
2023-07-04,7.252825,7.25735,7.218075,7.2271,-1.0,-1.0,-1
2023-07-05,7.22888,7.26534,7.221745,7.262055,-1.0,-1.0,-1
2023-07-06,7.26195,7.27441,7.24262,7.255605,-1.0,-1.0,-1
2023-07-07,7.25893,7.25893,7.224815,7.231795,-1.0,-1.0,-1
2023-07-10,7.229945,7.249185,7.220255,7.229195,-1.0,-1.0,-1
2023-07-11,7.229725,7.23645,7.194865,7.21175,-1.0,-1.0,-1
2023-07-12,7.21192,7.215675,7.16167,7.16505,-1.0,-1.0,-1
2023-07-13,7.16509,7.181815,7.14797,7.150515,-1.0,-1.0,-1
2023-07-14,7.151555,7.16179,7.122785,7.15651,-1.0,-1.0,-1
2023-07-17,7.15775,7.189655,7.148465,7.17818,-1.0,-1.0,-1
2023-07-18,7.17793,7.197085,7.16753,7.192745,-1.0,-1.0,-1
2023-07-19,7.19312,7.236835,7.19166,7.231995,-1.0,-1.0,-1
2023-07-20,7.231855,7.23247,7.166835,7.174335,-1.0,-1.0,-1
2023-07-21,7.177195,7.19224,7.16405,7.18993,-1.0,-1.0,-1
2023-07-24,7.18665,7.213345,7.17884,7.185235,-1.0,-1.0,-1
2023-07-25,7.185925,7.18978,7.12596,7.13685,-1.0,-1.0,-1
2023-07-26,7.13665,7.1642,7.13585,7.1524,-1.0,-1.0,-1
2023-07-27,7.15115,7.1774,7.11595,7.1708,-1.0,-1.0,-1
2023-07-28,7.1709,7.1779,7.1444,7.15335,-1.0,-1.0,-1
2023-07-31,7.1566,7.15935,7.13275,7.1465,-1.0,-1.0,-1
2023-08-01,7.14685,7.19125,7.14545,7.1858,-1.0,-1.0,-1
2023-08-02,7.1865,7.21315,7.17335,7.2005,-1.0,-1.0,-1
2023-08-03,7.2007,7.2082,7.1702,7.18205,-1.0,-1.0,-1
2023-08-04,7.18245,7.1952,7.1553,7.18835,-1.0,-1.0,-1
2023-08-07,7.18545,7.2054,7.1854,7.2002,-1.0,-1.0,-1
2023-08-08,7.2014,7.25125,7.2003,7.2375,-1.0,-1.0,-1
2023-08-09,7.2362,7.24425,7.20695,7.2287,-1.0,-1.0,-1
2023-08-10,7.2296,7.2451,7.2076,7.24255,-1.0,-1.0,-1
2023-08-11,7.24245,7.26365,7.2339,7.26015,-1.0,-1.0,-1
2023-08-14,7.2592,7.29285,7.25885,7.27945,-1.0,-1.0,-1
2023-08-15,7.2793,7.3313,7.27655,7.32485,-1.0,-1.0,-1
2023-08-16,7.32365,7.34275,7.3041,7.3359,-1.0,-1.0,-1
2023-08-17,7.33695,7.34985,7.29695,7.30355,-1.0,-1.0,-1
2023-08-18,7.30425,7.31885,7.2825,7.3054,-1.0,-1.0,-1
2023-08-21,7.306645,7.3362,7.278225,7.28892,-1.0,-1.0,-1
2023-08-22,7.28745,7.316995,7.269195,7.30645,-1.0,-1.0,-1
2023-08-23,7.30698,7.30745,7.282555,7.28806,-1.0,-1.0,-1
2023-08-24,7.288555,7.29477,7.267835,7.280975,-1.0,-1.0,-1
2023-08-25,7.28227,7.301975,7.280125,7.294305,-1.0,-1.0,-1
2023-08-28,7.285555,7.30572,7.26976,7.29333,-1.0,-1.0,-1
2023-08-29,7.29222,7.31074,7.280105,7.284385,-1.0,-1.0,-1
2023-08-30,7.285575,7.30486,7.281565,7.30325,-1.0,-1.0,-1
2023-08-31,7.29893,7.302045,7.26858,7.275985,-1.0,-1.0,-1
2023-09-01,7.274545,7.27858,7.239135,7.27018,-1.0,-1.0,-1
2023-09-04,7.269675,7.27898,7.25477,7.27496,-1.0,-1.0,-1
2023-09-05,7.27518,7.31177,7.274495,7.30511,-1.0,-1.0,-1
2023-09-06,7.30258,7.32781,7.301595,7.32047,-1.0,-1.0,-1
2023-09-07,7.319995,7.345915,7.31896,7.341645,-1.0,-1.0,-1
2023-09-08,7.341355,7.368235,7.334605,7.365565,-1.0,-1.0,-1
2023-09-11,7.36088,7.36378,7.29194,7.302505,-1.0,-1.0,-1
2023-09-12,7.30432,7.31459,7.291785,7.30164,-1.0,-1.0,-1
2023-09-13,7.30068,7.306015,7.2693,7.271655,-1.0,-1.0,-1
2023-09-14,7.2721,7.2971,7.260625,7.28999,-1.0,-1.0,-1
2023-09-15,7.287275,7.29545,7.25965,7.280745,-1.0,-1.0,-1
2023-09-18,7.276255,7.298725,7.27175,7.29128,-1.0,-1.0,-1
2023-09-19,7.292055,7.30781,7.28857,7.30343,-1.0,-1.0,-1
