date,open,high,low,close,volume,average,barCount
2023-05-25,139.3925,140.2305,138.8185,140.0365,-1.0,-1.0,-1
2023-05-26,140.065,140.7265,139.4965,140.589,-1.0,-1.0,-1
2023-05-29,140.545,140.9195,140.1145,140.443,-1.0,-1.0,-1
2023-05-30,140.4525,140.9345,139.571,139.802,-1.0,-1.0,-1
2023-05-31,139.795,140.419,139.236,139.34,-1.0,-1.0,-1
2023-06-01,139.3275,139.9505,138.4355,138.792,-1.0,-1.0,-1
2023-06-02,138.825,140.0725,138.6045,139.8715,-1.0,-1.0,-1
2023-06-05,139.99,140.4545,139.25,139.5705,-1.0,-1.0,-1
2023-06-06,139.528,139.9955,139.096,139.64,-1.0,-1.0,-1
2023-06-07,139.62,140.2475,139.024,140.1235,-1.0,-1.0,-1
2023-06-08,140.0775,140.2305,138.809,138.924,-1.0,-1.0,-1
2023-06-09,138.908,139.726,138.758,139.382,-1.0,-1.0,-1
2023-06-12,139.377,139.767,139.0645,139.607,-1.0,-1.0,-1
2023-06-13,139.6275,140.3085,139.012,140.2185,-1.0,-1.0,-1
2023-06-14,140.2055,140.2865,139.2825,140.073,-1.0,-1.0,-1
2023-06-15,140.045,141.5045,139.943,140.261,-1.0,-1.0,-1
2023-06-16,140.2705,141.9135,139.8535,141.805,-1.0,-1.0,-1
2023-06-19,141.73,142.0035,141.442,141.97,-1.0,-1.0,-1
2023-06-20,141.9425,142.255,141.2155,141.466,-1.0,-1.0,-1
2023-06-21,141.436,142.3685,141.2845,141.877,-1.0,-1.0,-1
2023-06-22,141.8105,143.229,141.612,143.11,-1.0,-1.0,-1
2023-06-23,143.0725,143.8725,142.693,143.675,-1.0,-1.0,-1
2023-06-26,143.5905,143.723,142.937,143.5,-1.0,-1.0,-1
2023-06-27,143.5075,144.1785,143.2845,144.0725,-1.0,-1.0,-1
2023-06-28,144.0575,144.618,143.7305,144.4825,-1.0,-1.0,-1
2023-06-29,144.443,144.8985,144.134,144.755,-1.0,-1.0,-1
2023-06-30,144.775,145.072,144.206,144.2615,-1.0,-1.0,-1
2023-07-03,144.307,144.915,143.987,144.662,-1.0,-1.0,-1
2023-07-04,144.6755,144.705,144.208,144.4495,-1.0,-1.0,-1
2023-07-05,144.4525,144.737,144.08,144.6595,-1.0,-1.0,-1
2023-07-06,144.6165,144.654,143.556,144.07,-1.0,-1.0,-1
2023-07-07,144.051,144.1985,142.0735,142.209,-1.0,-1.0,-1
2023-07-10,142.195,143.0075,141.278,141.321,-1.0,-1.0,-1
2023-07-11,141.3315,141.4635,140.161,140.368,-1.0,-1.0,-1
2023-07-12,140.3625,140.3705,138.155,138.4765,-1.0,-1.0,-1
2023-07-13,138.4395,138.958,137.9225,138.047,-1.0,-1.0,-1
2023-07-14,138.0325,139.158,137.238,138.876,-1.0,-1.0,-1
2023-07-17,138.8275,139.4085,137.9935,138.709,-1.0,-1.0,-1
2023-07-18,138.714,139.1345,137.6845,138.833,-1.0,-1.0,-1
2023-07-19,138.8495,139.995,138.767,139.663,-1.0,-1.0,-1
2023-07-20,139.65,140.499,139.112,140.071,-1.0,-1.0,-1
2023-07-21,140.09,141.955,139.75,141.7275,-1.0,-1.0,-1
2023-07-24,141.692,141.815,140.743,141.4785,-1.0,-1.0,-1
2023-07-25,141.475,141.743,140.852,140.9035,-1.0,-1.0,-1
2023-07-26,141.095,141.1865,139.9265,140.239,-1.0,-1.0,-1
2023-07-27,140.22,141.325,138.77,139.465,-1.0,-1.0,-1
2023-07-28,139.435,141.185,138.06,141.155,-1.0,-1.0,-1
2023-07-31,140.99,142.695,140.69,142.27,-1.0,-1.0,-1
2023-08-01,142.275,143.55,142.21,143.335,-1.0,-1.0,-1
2023-08-02,143.28,143.48,142.235,143.325,-1.0,-1.0,-1
2023-08-03,143.34,143.895,142.065,142.57,-1.0,-1.0,-1
2023-08-04,142.58,142.945,141.55,141.755,-1.0,-1.0,-1
2023-08-07,141.73,142.59,141.51,142.5,-1.0,-1.0,-1
2023-08-08,142.5,143.495,142.4,143.38,-1.0,-1.0,-1
2023-08-09,143.34,143.755,143.0,143.725,-1.0,-1.0,-1
2023-08-10,143.7,144.82,143.285,144.74,-1.0,-1.0,-1
2023-08-11,144.72,145.005,144.42,144.955,-1.0,-1.0,-1
2023-08-14,144.945,145.58,144.65,145.555,-1.0,-1.0,-1
2023-08-15,145.555,145.87,145.1,145.575,-1.0,-1.0,-1
2023-08-16,145.57,146.41,145.305,146.35,-1.0,-1.0,-1
2023-08-17,146.295,146.565,145.615,145.835,-1.0,-1.0,-1
2023-08-18,145.83,145.875,144.925,145.395,-1.0,-1.0,-1
2023-08-21,145.3445,146.4065,145.1455,146.2245,-1.0,-1.0,-1
2023-08-22,146.1775,146.406,145.495,145.889,-1.0,-1.0,-1
2023-08-23,145.84,145.881,144.541,144.844,-1.0,-1.0,-1
2023-08-24,144.825,145.96,144.6025,145.8335,-1.0,-1.0,-1
2023-08-25,145.861,146.6355,145.72,146.4025,-1.0,-1.0,-1
2023-08-28,146.45,146.7455,146.274,146.5345,-1.0,-1.0,-1
2023-08-29,146.543,147.377,145.6685,145.8805,-1.0,-1.0,-1
2023-08-30,145.8345,146.538,145.5585,146.2455,-1.0,-1.0,-1
2023-08-31,146.204,146.2305,145.35,145.5405,-1.0,-1.0,-1
2023-09-01,145.4805,146.295,144.442,146.221,-1.0,-1.0,-1
2023-09-04,146.22,146.497,146.023,146.471,-1.0,-1.0,-1
2023-09-05,146.4425,147.8025,146.439,147.722,-1.0,-1.0,-1
2023-09-06,147.66,147.82,147.0175,147.6595,-1.0,-1.0,-1
2023-09-07,147.6075,147.875,147.0445,147.296,-1.0,-1.0,-1
