date,open,high,low,close,volume,average,barCount
2023-05-25,17.805795,17.87947,17.752735,17.8548,-1.0,-1.0,-1
2023-05-26,17.848275,17.863755,17.61609,17.625495,-1.0,-1.0,-1
2023-05-29,17.63668,17.6388,17.534605,17.589955,-1.0,-1.0,-1
2023-05-30,17.589,17.69312,17.54125,17.65885,-1.0,-1.0,-1
2023-05-31,17.66968,17.77223,17.63593,17.68985,-1.0,-1.0,-1
2023-06-01,17.68945,17.727795,17.540945,17.551355,-1.0,-1.0,-1
2023-06-02,17.56393,17.572845,17.420395,17.55767,-1.0,-1.0,-1
2023-06-05,17.53715,17.598005,17.257595,17.4692,-1.0,-1.0,-1
2023-06-06,17.4699,17.497885,17.37059,17.386105,-1.0,-1.0,-1
2023-06-07,17.397625,17.400075,17.305625,17.362945,-1.0,-1.0,-1
2023-06-08,17.36047,17.44395,17.330435,17.3814,-1.0,-1.0,-1
2023-06-09,17.38427,17.38888,17.259195,17.28225,-1.0,-1.0,-1
2023-06-12,17.29807,17.33588,17.24175,17.2824,-1.0,-1.0,-1
2023-06-13,17.28265,17.32119,17.19705,17.223555,-1.0,-1.0,-1
2023-06-14,17.2234,17.24751,17.07924,17.109525,-1.0,-1.0,-1
2023-06-15,17.1131,17.254245,17.10295,17.123095,-1.0,-1.0,-1
2023-06-16,17.12368,17.1895,17.02353,17.089855,-1.0,-1.0,-1
2023-06-19,17.062,17.172255,17.05009,17.082755,-1.0,-1.0,-1
2023-06-20,17.074,17.24379,17.07287,17.207945,-1.0,-1.0,-1
2023-06-21,17.208195,17.258195,17.105175,17.122,-1.0,-1.0,-1
2023-06-22,17.127175,17.208935,17.112975,17.179505,-1.0,-1.0,-1
2023-06-23,17.1811,17.265785,17.138005,17.17475,-1.0,-1.0,-1
2023-06-26,17.168005,17.174945,17.11123,17.136845,-1.0,-1.0,-1
2023-06-27,17.137095,17.14093,17.05478,17.084705,-1.0,-1.0,-1
2023-06-28,17.093,17.12411,17.04502,17.091845,-1.0,-1.0,-1
2023-06-29,17.082775,17.15347,17.06869,17.12615,-1.0,-1.0,-1
2023-06-30,17.114,17.17204,17.04498,17.126445,-1.0,-1.0,-1
2023-07-03,17.130995,17.149665,17.037695,17.0633,-1.0,-1.0,-1
2023-07-04,17.049845,17.064145,17.016925,17.05087,-1.0,-1.0,-1
2023-07-05,17.05741,17.075495,16.981205,17.0064,-1.0,-1.0,-1
2023-07-06,17.00955,17.381935,16.99803,17.239245,-1.0,-1.0,-1
2023-07-07,17.241755,17.3959,17.072025,17.146155,-1.0,-1.0,-1
2023-07-10,17.123005,17.174065,17.029785,17.05185,-1.0,-1.0,-1
2023-07-11,17.058005,17.12113,17.04237,17.042845,-1.0,-1.0,-1
2023-07-12,17.057175,17.065245,16.80863,16.902345,-1.0,-1.0,-1
2023-07-13,16.891645,16.96257,16.825825,16.8411,-1.0,-1.0,-1
2023-07-14,16.85175,16.918105,16.71558,16.752,-1.0,-1.0,-1
2023-07-17,16.754495,16.89816,16.707345,16.7318,-1.0,-1.0,-1
2023-07-18,16.737525,16.7829,16.692505,16.751805,-1.0,-1.0,-1
2023-07-19,16.754245,16.78705,16.7073,16.726155,-1.0,-1.0,-1
2023-07-20,16.727105,16.91537,16.702235,16.89435,-1.0,-1.0,-1
2023-07-21,16.899175,17.05095,16.86141,16.988345,-1.0,-1.0,-1
2023-07-24,16.957255,17.01124,16.81289,16.835255,-1.0,-1.0,-1
2023-07-25,16.834255,16.94228,16.80095,16.92935,-1.0,-1.0,-1
2023-07-26,16.91045,16.98415,16.817,16.8435,-1.0,-1.0,-1
2023-07-27,16.8434,16.90835,16.70335,16.87285,-1.0,-1.0,-1
2023-07-28,16.87245,16.9481,16.62565,16.70035,-1.0,-1.0,-1
