date,open,high,low,close,volume,average,barCount
2023-05-25,1.3496,1.35524,1.34877,1.35456,-1.0,-1.0,-1
2023-05-26,1.354425,1.355575,1.350085,1.35225,-1.0,-1.0,-1
2023-05-29,1.3533,1.353745,1.35084,1.35366,-1.0,-1.0,-1
2023-05-30,1.353275,1.35561,1.34938,1.350465,-1.0,-1.0,-1
2023-05-31,1.351025,1.35617,1.350375,1.351655,-1.0,-1.0,-1
2023-06-01,1.3526,1.355155,1.34688,1.347405,-1.0,-1.0,-1
2023-06-02,1.3481,1.351265,1.34326,1.34995,-1.0,-1.0,-1
2023-06-05,1.350975,1.3527,1.348195,1.34929,-1.0,-1.0,-1
2023-06-06,1.348925,1.35076,1.347255,1.348625,-1.0,-1.0,-1
2023-06-07,1.3483,1.3497,1.344225,1.3488,-1.0,-1.0,-1
2023-06-08,1.3487,1.34906,1.34248,1.34257,-1.0,-1.0,-1
2023-06-09,1.343555,1.34472,1.341845,1.343885,-1.0,-1.0,-1
2023-06-12,1.34375,1.34495,1.34122,1.34359,-1.0,-1.0,-1
2023-06-13,1.343675,1.34454,1.33664,1.3424,-1.0,-1.0,-1
2023-06-14,1.34205,1.34334,1.338215,1.34137,-1.0,-1.0,-1
2023-06-15,1.3415,1.345605,1.336135,1.33654,-1.0,-1.0,-1
2023-06-16,1.33645,1.338625,1.335215,1.337655,-1.0,-1.0,-1
2023-06-19,1.33762,1.341615,1.336885,1.34111,-1.0,-1.0,-1
2023-06-20,1.34138,1.34549,1.340305,1.3433,-1.0,-1.0,-1
2023-06-21,1.342605,1.345125,1.339605,1.34031,-1.0,-1.0,-1
2023-06-22,1.3405,1.345265,1.33969,1.34503,-1.0,-1.0,-1
2023-06-23,1.344375,1.353155,1.344055,1.352005,-1.0,-1.0,-1
2023-06-26,1.351825,1.353995,1.35026,1.353505,-1.0,-1.0,-1
2023-06-27,1.353275,1.35405,1.346485,1.34921,-1.0,-1.0,-1
2023-06-28,1.349,1.354305,1.348885,1.35281,-1.0,-1.0,-1
2023-06-29,1.35275,1.357045,1.35129,1.35645,-1.0,-1.0,-1
2023-06-30,1.356175,1.357295,1.351705,1.352295,-1.0,-1.0,-1
2023-07-03,1.35215,1.35334,1.34786,1.351275,-1.0,-1.0,-1
2023-07-04,1.35123,1.351415,1.3476,1.34954,-1.0,-1.0,-1
2023-07-05,1.349235,1.353695,1.34899,1.3534,-1.0,-1.0,-1
2023-07-06,1.35322,1.35588,1.349775,1.353565,-1.0,-1.0,-1
2023-07-07,1.353155,1.35379,1.34568,1.346485,-1.0,-1.0,-1
2023-07-10,1.34675,1.34979,1.34437,1.3448,-1.0,-1.0,-1
2023-07-11,1.345,1.34502,1.34035,1.34099,-1.0,-1.0,-1
2023-07-12,1.3411,1.34121,1.329295,1.330185,-1.0,-1.0,-1
2023-07-13,1.33031,1.33061,1.321495,1.32212,-1.0,-1.0,-1
2023-07-14,1.323,1.32323,1.317235,1.321295,-1.0,-1.0,-1
2023-07-17,1.321675,1.324585,1.320815,1.32189,-1.0,-1.0,-1
2023-07-18,1.322025,1.32349,1.317405,1.322805,-1.0,-1.0,-1
2023-07-19,1.32236,1.327265,1.322155,1.32497,-1.0,-1.0,-1
2023-07-20,1.3255,1.32789,1.321325,1.326935,-1.0,-1.0,-1
2023-07-21,1.327225,1.33114,1.326105,1.33047,-1.0,-1.0,-1
2023-07-24,1.33075,1.33234,1.32929,1.33178,-1.0,-1.0,-1
2023-07-25,1.3318,1.332595,1.32734,1.327455,-1.0,-1.0,-1
2023-07-26,1.328475,1.32995,1.32393,1.325445,-1.0,-1.0,-1
2023-07-27,1.32543,1.33211,1.32144,1.33149,-1.0,-1.0,-1
2023-07-28,1.3311,1.3342,1.32995,1.33195,-1.0,-1.0,-1
2023-07-31,1.33195,1.33235,1.3277,1.3296,-1.0,-1.0,-1
2023-08-01,1.32965,1.3374,1.32885,1.33665,-1.0,-1.0,-1
2023-08-02,1.3364,1.34335,1.3345,1.3414,-1.0,-1.0,-1
2023-08-03,1.34035,1.3449,1.3392,1.34105,-1.0,-1.0,-1
2023-08-04,1.343,1.34375,1.33645,1.33965,-1.0,-1.0,-1
2023-08-07,1.3387,1.34215,1.3386,1.34105,-1.0,-1.0,-1
2023-08-08,1.3409,1.35035,1.3408,1.34755,-1.0,-1.0,-1
2023-08-09,1.34795,1.3487,1.34355,1.34645,-1.0,-1.0,-1
2023-08-10,1.3459,1.3497,1.34075,1.34935,-1.0,-1.0,-1
2023-08-11,1.34865,1.35405,1.34765,1.35315,-1.0,-1.0,-1
2023-08-14,1.3515,1.3585,1.35075,1.3558,-1.0,-1.0,-1
2023-08-15,1.3558,1.35895,1.35495,1.35845,-1.0,-1.0,-1
2023-08-16,1.3572,1.36045,1.35615,1.3598,-1.0,-1.0,-1
2023-08-17,1.3589,1.3625,1.3562,1.3584,-1.0,-1.0,-1
2023-08-18,1.3576,1.3587,1.35515,1.3572,-1.0,-1.0,-1
2023-08-21,1.356875,1.358975,1.35557,1.357565,-1.0,-1.0,-1
2023-08-22,1.35785,1.35864,1.353895,1.35778,-1.0,-1.0,-1
2023-08-23,1.35738,1.35882,1.352195,1.352675,-1.0,-1.0,-1
2023-08-24,1.352855,1.356845,1.35096,1.356605,-1.0,-1.0,-1
2023-08-25,1.3554,1.358705,1.352555,1.356715,-1.0,-1.0,-1
2023-08-28,1.35605,1.35779,1.353365,1.355975,-1.0,-1.0,-1
2023-08-29,1.355825,1.35748,1.349175,1.34959,-1.0,-1.0,-1
2023-08-30,1.3498,1.354225,1.34828,1.349675,-1.0,-1.0,-1
2023-08-31,1.3498,1.35235,1.347925,1.35135,-1.0,-1.0,-1
2023-09-01,1.349565,1.35495,1.347165,1.35468,-1.0,-1.0,-1
2023-09-04,1.352975,1.355465,1.35235,1.354895,-1.0,-1.0,-1
2023-09-05,1.3551,1.36242,1.35457,1.36134,-1.0,-1.0,-1
2023-09-06,1.3615,1.364735,1.35957,1.36361,-1.0,-1.0,-1
2023-09-07,1.36255,1.366235,1.36235,1.365885,-1.0,-1.0,-1
2023-09-08,1.3658,1.36637,1.36174,1.365475,-1.0,-1.0,-1
2023-09-11,1.365005,1.365385,1.359105,1.36058,-1.0,-1.0,-1
2023-09-12,1.3606,1.363615,1.35961,1.360665,-1.0,-1.0,-1
2023-09-13,1.36098,1.364465,1.359595,1.361145,-1.0,-1.0,-1
2023-09-14,1.361025,1.36446,1.358755,1.363525,-1.0,-1.0,-1
2023-09-15,1.36305,1.364705,1.361165,1.363605,-1.0,-1.0,-1
2023-09-18,1.363875,1.365415,1.362255,1.363385,-1.0,-1.0,-1
2023-09-19,1.363425,1.36558,1.36194,1.364895,-1.0,-1.0,-1
2023-09-20,1.36445,1.365955,1.35982,1.365385,-1.0,-1.0,-1
2023-09-21,1.36537,1.369875,1.36516,1.36657,-1.0,-1.0,-1
2023-09-22,1.3671,1.36896,1.362855,1.364955,-1.0,-1.0,-1
2023-09-25,1.3659,1.367595,1.36517,1.366355,-1.0,-1.0,-1
2023-09-26,1.36583,1.36952,1.365695,1.36943,-1.0,-1.0,-1
2023-09-27,1.3683,1.37398,1.36821,1.372685,-1.0,-1.0,-1
2023-09-28,1.371625,1.37307,1.36439,1.36591,-1.0,-1.0,-1
2023-09-29,1.3659,1.367395,1.360755,1.36613,-1.0,-1.0,-1
2023-10-02,1.366075,1.373985,1.364295,1.372985,-1.0,-1.0,-1
2023-10-03,1.3724,1.376395,1.37234,1.37317,-1.0,-1.0,-1
