date,open,high,low,close,volume,average,barCount,returns,volatility
2023-05-25,1.2369,1.238715,1.23082,1.232155,-1.0,-1.0,-1,,
2023-05-26,1.23221,1.239545,1.23111,1.234265,-1.0,-1.0,-1,0.0017124468918277014,
2023-05-29,1.23425,1.2372,1.23352,1.23565,-1.0,-1.0,-1,0.0011221253134456877,
2023-05-30,1.235375,1.244665,1.23273,1.24135,-1.0,-1.0,-1,0.0046129567434143315,
2023-05-31,1.241025,1.244425,1.23482,1.24407,-1.0,-1.0,-1,0.002191162846900685,
2023-06-01,1.24345,1.25398,1.240085,1.25254,-1.0,-1.0,-1,0.006808298568408588,
2023-06-02,1.25289,1.254495,1.24417,1.245255,-1.0,-1.0,-1,-0.005816181519153085,
2023-06-05,1.24595,1.24595,1.236865,1.243785,-1.0,-1.0,-1,-0.0011804811062795517,
2023-06-06,1.243155,1.245885,1.239185,1.24243,-1.0,-1.0,-1,-0.0010894165792318944,
2023-06-07,1.24285,1.250025,1.239515,1.243795,-1.0,-1.0,-1,0.001098653445264608,
2023-06-08,1.243675,1.25612,1.243465,1.255985,-1.0,-1.0,-1,0.009800650428728241,
2023-06-09,1.25607,1.25904,1.2534,1.2571,-1.0,-1.0,-1,0.0008877494556067678,
2023-06-12,1.25745,1.259945,1.248695,1.25111,-1.0,-1.0,-1,-0.0047649351682445,
2023-06-13,1.251275,1.2625,1.251,1.261195,-1.0,-1.0,-1,0.008060841972328703,
2023-06-14,1.2611,1.26992,1.260095,1.2662,-1.0,-1.0,-1,0.003968458485801074,
2023-06-15,1.266615,1.27857,1.262965,1.278345,-1.0,-1.0,-1,0.009591691675880698,
2023-06-16,1.27856,1.284855,1.276845,1.281845,-1.0,-1.0,-1,0.0027379150385848927,
2023-06-19,1.281445,1.283725,1.27707,1.27919,-1.0,-1.0,-1,-0.0020712332614316598,
2023-06-20,1.2793,1.280675,1.27137,1.276465,-1.0,-1.0,-1,-0.0021302543015502273,
2023-06-21,1.276495,1.280305,1.26914,1.27695,-1.0,-1.0,-1,0.0003799555804506749,
2023-06-22,1.276825,1.284475,1.272585,1.27476,-1.0,-1.0,-1,-0.0017150240808176953,
2023-06-23,1.2746,1.274935,1.268515,1.271195,-1.0,-1.0,-1,-0.002796604851109108,
2023-06-26,1.270975,1.274875,1.268815,1.271315,-1.0,-1.0,-1,9.439936437760643e-05,
2023-06-27,1.271175,1.27596,1.270355,1.27486,-1.0,-1.0,-1,0.0027884513279559098,
2023-06-28,1.275,1.27522,1.260665,1.263575,-1.0,-1.0,-1,-0.008851952371240923,
2023-06-29,1.26415,1.266705,1.25914,1.26146,-1.0,-1.0,-1,-0.0016738222899312927,
2023-06-30,1.261325,1.27281,1.25995,1.27004,-1.0,-1.0,-1,0.00680164254118254,
2023-07-03,1.2697,1.27233,1.265865,1.269405,-1.0,-1.0,-1,-0.0004999842524646692,
2023-07-04,1.26926,1.27394,1.26836,1.27138,-1.0,-1.0,-1,0.0015558470306955563,
2023-07-05,1.271965,1.273545,1.26882,1.27048,-1.0,-1.0,-1,-0.000707892211612493,
2023-07-06,1.2701,1.27813,1.267345,1.273995,-1.0,-1.0,-1,0.0027666708645550653,0.06862531488853163
2023-07-07,1.27391,1.284945,1.2726,1.283465,-1.0,-1.0,-1,0.0074333101778265576,0.07101396333088027
2023-07-10,1.2835,1.28685,1.27503,1.286115,-1.0,-1.0,-1,0.0020647232296944207,0.07104443933655984
2023-07-11,1.28615,1.2935,1.28571,1.29326,-1.0,-1.0,-1,0.0055554907609352,0.07147242922629855
2023-07-12,1.293225,1.300085,1.290425,1.29875,-1.0,-1.0,-1,0.004245086061580805,0.07192240662312009
2023-07-13,1.29915,1.31412,1.29844,1.313595,-1.0,-1.0,-1,0.0114302213666988,0.07604674545190146
2023-07-14,1.313025,1.31425,1.30892,1.30917,-1.0,-1.0,-1,-0.0033686181814029936,0.07428335944375576
2023-07-17,1.309575,1.310915,1.305115,1.30731,-1.0,-1.0,-1,-0.0014207474965054478,0.07436698474209492
2023-07-18,1.3077,1.312595,1.30282,1.303625,-1.0,-1.0,-1,-0.0028187652507820626,0.07509044687130613
2023-07-19,1.30498,1.30498,1.286745,1.29396,-1.0,-1.0,-1,-0.007413941892798981,0.07952122493001319
2023-07-20,1.293525,1.29647,1.28398,1.28678,-1.0,-1.0,-1,-0.005548857769946514,0.07773882384897013
2023-07-21,1.2865,1.290445,1.28161,1.28539,-1.0,-1.0,-1,-0.0010802157322929995,0.07793277116060063
